Title,Description,Domain,Technologies,Features,Keywords
Crop Yield Prediction,AI-powered crop yield prediction system for predictive analytics applications.,Predictive Analytics,"Python, Scikit-learn, XGBoost","Dashboard, Prediction/Detection, Reports, Authentication, Analytics","crop, yield, prediction"
Electricity Demand,AI-powered electricity demand system for predictive analytics applications.,Predictive Analytics,"Python, Scikit-learn, XGBoost","Dashboard, Prediction/Detection, Reports, Authentication, Analytics","electricity, demand"
Air Quality Prediction,AI-powered air quality prediction system for predictive analytics applications.,Predictive Analytics,"Python, Scikit-learn, XGBoost","Dashboard, Prediction/Detection, Reports, Authentication, Analytics","air, quality, prediction"
Energy Consumption,AI-powered energy consumption system for predictive analytics applications.,Predictive Analytics,"Python, Scikit-learn, XGBoost","Dashboard, Prediction/Detection, Reports, Authentication, Analytics","energy, consumption"
Water Quality Prediction,AI-powered water quality prediction system for predictive analytics applications.,Predictive Analytics,"Python, Scikit-learn, XGBoost","Dashboard, Prediction/Detection, Reports, Authentication, Analytics","water, quality, prediction"
Taxi Fare Prediction,AI-powered taxi fare prediction system for predictive analytics applications.,Predictive Analytics,"Python, Scikit-learn, XGBoost","Dashboard, Prediction/Detection, Reports, Authentication, Analytics","taxi, fare, prediction"
Insurance Claim Prediction,AI-powered insurance claim prediction system for predictive analytics applications.,Predictive Analytics,"Python, Scikit-learn, XGBoost","Dashboard, Prediction/Detection, Reports, Authentication, Analytics","insurance, claim, prediction"
Demand Forecasting,AI-powered demand forecasting system for predictive analytics applications.,Predictive Analytics,"Python, Scikit-learn, XGBoost","Dashboard, Prediction/Detection, Reports, Authentication, Analytics","demand, forecasting"
Rainfall Prediction,AI-powered rainfall prediction system for predictive analytics applications.,Predictive Analytics,"Python, Scikit-learn, XGBoost","Dashboard, Prediction/Detection, Reports, Authentication, Analytics","rainfall, prediction"
Traffic Flow Prediction,AI-powered traffic flow prediction system for predictive analytics applications.,Predictive Analytics,"Python, Scikit-learn, XGBoost","Dashboard, Prediction/Detection, Reports, Authentication, Analytics","traffic, flow, prediction"
Retail Sales Prediction,AI-powered retail sales prediction system for predictive analytics applications.,Predictive Analytics,"Python, Scikit-learn, XGBoost","Dashboard, Prediction/Detection, Reports, Authentication, Analytics","retail, sales, prediction"
Movie Recommendation,AI-powered movie recommendation system for recommendation systems applications.,Recommendation Systems,"Python, Surprise, TensorFlow","Dashboard, Prediction/Detection, Reports, Authentication, Analytics","movie, recommendation"
Music Recommendation,AI-powered music recommendation system for recommendation systems applications.,Recommendation Systems,"Python, Surprise, TensorFlow","Dashboard, Prediction/Detection, Reports, Authentication, Analytics","music, recommendation"
Book Recommendation,AI-powered book recommendation system for recommendation systems applications.,Recommendation Systems,"Python, Surprise, TensorFlow","Dashboard, Prediction/Detection, Reports, Authentication, Analytics","book, recommendation"
Recipe Recommendation,AI-powered recipe recommendation system for recommendation systems applications.,Recommendation Systems,"Python, Surprise, TensorFlow","Dashboard, Prediction/Detection, Reports, Authentication, Analytics","recipe, recommendation"
Travel Recommendation,AI-powered travel recommendation system for recommendation systems applications.,Recommendation Systems,"Python, Surprise, TensorFlow","Dashboard, Prediction/Detection, Reports, Authentication, Analytics","travel, recommendation"
Course Recommendation,AI-powered course recommendation system for recommendation systems applications.,Recommendation Systems,"Python, Surprise, TensorFlow","Dashboard, Prediction/Detection, Reports, Authentication, Analytics","course, recommendation"
Job Recommendation,AI-powered job recommendation system for recommendation systems applications.,Recommendation Systems,"Python, Surprise, TensorFlow","Dashboard, Prediction/Detection, Reports, Authentication, Analytics","job, recommendation"
Product Recommendation,AI-powered product recommendation system for recommendation systems applications.,Recommendation Systems,"Python, Surprise, TensorFlow","Dashboard, Prediction/Detection, Reports, Authentication, Analytics","product, recommendation"
Restaurant Recommendation,AI-powered restaurant recommendation system for recommendation systems applications.,Recommendation Systems,"Python, Surprise, TensorFlow","Dashboard, Prediction/Detection, Reports, Authentication, Analytics","restaurant, recommendation"
News Recommendation,AI-powered news recommendation system for recommendation systems applications.,Recommendation Systems,"Python, Surprise, TensorFlow","Dashboard, Prediction/Detection, Reports, Authentication, Analytics","news, recommendation"
Hotel Recommendation,AI-powered hotel recommendation system for recommendation systems applications.,Recommendation Systems,"Python, Surprise, TensorFlow","Dashboard, Prediction/Detection, Reports, Authentication, Analytics","hotel, recommendation"
Workout Recommendation,AI-powered workout recommendation system for recommendation systems applications.,Recommendation Systems,"Python, Surprise, TensorFlow","Dashboard, Prediction/Detection, Reports, Authentication, Analytics","workout, recommendation"
Fashion Recommendation,AI-powered fashion recommendation system for recommendation systems applications.,Recommendation Systems,"Python, Surprise, TensorFlow","Dashboard, Prediction/Detection, Reports, Authentication, Analytics","fashion, recommendation"
Podcast Recommendation,AI-powered podcast recommendation system for recommendation systems applications.,Recommendation Systems,"Python, Surprise, TensorFlow","Dashboard, Prediction/Detection, Reports, Authentication, Analytics","podcast, recommendation"
Scholarship Recommendation,AI-powered scholarship recommendation system for recommendation systems applications.,Recommendation Systems,"Python, Surprise, TensorFlow","Dashboard, Prediction/Detection, Reports, Authentication, Analytics","scholarship, recommendation"
Smart Irrigation,AI-powered smart irrigation system for iot & robotics applications.,IoT & Robotics,"Python, Arduino, ESP32","Dashboard, Prediction/Detection, Reports, Authentication, Analytics","smart, irrigation"
Smart Parking,AI-powered smart parking system for iot & robotics applications.,IoT & Robotics,"Python, Arduino, ESP32","Dashboard, Prediction/Detection, Reports, Authentication, Analytics","smart, parking"
Smart Home,AI-powered smart home system for iot & robotics applications.,IoT & Robotics,"Python, Arduino, ESP32","Dashboard, Prediction/Detection, Reports, Authentication, Analytics","smart, home"
Smart Traffic,AI-powered smart traffic system for iot & robotics applications.,IoT & Robotics,"Python, Arduino, ESP32","Dashboard, Prediction/Detection, Reports, Authentication, Analytics","smart, traffic"
Fall Detection,AI-powered fall detection system for iot & robotics applications.,IoT & Robotics,"Python, Arduino, ESP32","Dashboard, Prediction/Detection, Reports, Authentication, Analytics","fall, detection"
Garbage Monitoring,AI-powered garbage monitoring system for iot & robotics applications.,IoT & Robotics,"Python, Arduino, ESP32","Dashboard, Prediction/Detection, Reports, Authentication, Analytics","garbage, monitoring"
Energy Meter,AI-powered energy meter system for iot & robotics applications.,IoT & Robotics,"Python, Arduino, ESP32","Dashboard, Prediction/Detection, Reports, Authentication, Analytics","energy, meter"
Water Management,AI-powered water management system for iot & robotics applications.,IoT & Robotics,"Python, Arduino, ESP32","Dashboard, Prediction/Detection, Reports, Authentication, Analytics","water, management"
Drone Navigation,AI-powered drone navigation system for iot & robotics applications.,IoT & Robotics,"Python, Arduino, ESP32","Dashboard, Prediction/Detection, Reports, Authentication, Analytics","drone, navigation"
Warehouse Robot,AI-powered warehouse robot system for iot & robotics applications.,IoT & Robotics,"Python, Arduino, ESP32","Dashboard, Prediction/Detection, Reports, Authentication, Analytics","warehouse, robot"
Air Pollution Monitor,AI-powered air pollution monitor system for iot & robotics applications.,IoT & Robotics,"Python, Arduino, ESP32","Dashboard, Prediction/Detection, Reports, Authentication, Analytics","air, pollution, monitor"
Smart Street Lights,AI-powered smart street lights system for iot & robotics applications.,IoT & Robotics,"Python, Arduino, ESP32","Dashboard, Prediction/Detection, Reports, Authentication, Analytics","smart, street, lights"
Smart Greenhouse,AI-powered smart greenhouse system for iot & robotics applications.,IoT & Robotics,"Python, Arduino, ESP32","Dashboard, Prediction/Detection, Reports, Authentication, Analytics","smart, greenhouse"
Flood Alert,AI-powered flood alert system for iot & robotics applications.,IoT & Robotics,"Python, Arduino, ESP32","Dashboard, Prediction/Detection, Reports, Authentication, Analytics","flood, alert"
Fire Alarm,AI-powered fire alarm system for iot & robotics applications.,IoT & Robotics,"Python, Arduino, ESP32","Dashboard, Prediction/Detection, Reports, Authentication, Analytics","fire, alarm"
Expense Tracker,AI-powered expense tracker system for finance applications.,Finance,"Python, Flask, Scikit-learn","Dashboard, Prediction/Detection, Reports, Authentication, Analytics","expense, tracker"
Credit Score Prediction,AI-powered credit score prediction system for finance applications.,Finance,"Python, Flask, Scikit-learn","Dashboard, Prediction/Detection, Reports, Authentication, Analytics","credit, score, prediction"
Portfolio Optimizer,AI-powered portfolio optimizer system for finance applications.,Finance,"Python, Flask, Scikit-learn","Dashboard, Prediction/Detection, Reports, Authentication, Analytics","portfolio, optimizer"
Fraud Analytics,AI-powered fraud analytics system for finance applications.,Finance,"Python, Flask, Scikit-learn","Dashboard, Prediction/Detection, Reports, Authentication, Analytics","fraud, analytics"
Personal Finance Advisor,AI-powered personal finance advisor system for finance applications.,Finance,"Python, Flask, Scikit-learn","Dashboard, Prediction/Detection, Reports, Authentication, Analytics","personal, finance, advisor"
Tax Assistant,AI-powered tax assistant system for finance applications.,Finance,"Python, Flask, Scikit-learn","Dashboard, Prediction/Detection, Reports, Authentication, Analytics","tax, assistant"
Invoice OCR,AI-powered invoice ocr system for finance applications.,Finance,"Python, Flask, Scikit-learn","Dashboard, Prediction/Detection, Reports, Authentication, Analytics","invoice, ocr"
Budget Planner,AI-powered budget planner system for finance applications.,Finance,"Python, Flask, Scikit-learn","Dashboard, Prediction/Detection, Reports, Authentication, Analytics","budget, planner"
Risk Assessment,AI-powered risk assessment system for finance applications.,Finance,"Python, Flask, Scikit-learn","Dashboard, Prediction/Detection, Reports, Authentication, Analytics","risk, assessment"
Loan Risk Analyzer,AI-powered loan risk analyzer system for finance applications.,Finance,"Python, Flask, Scikit-learn","Dashboard, Prediction/Detection, Reports, Authentication, Analytics","loan, risk, analyzer"
AI Tutor,AI-powered ai tutor system for education applications.,Education,"Python, Streamlit, LLM","Dashboard, Prediction/Detection, Reports, Authentication, Analytics","ai, tutor"
Attendance Predictor,AI-powered attendance predictor system for education applications.,Education,"Python, Streamlit, LLM","Dashboard, Prediction/Detection, Reports, Authentication, Analytics","attendance, predictor"
Exam Generator,AI-powered exam generator system for education applications.,Education,"Python, Streamlit, LLM","Dashboard, Prediction/Detection, Reports, Authentication, Analytics","exam, generator"
Learning Analytics,AI-powered learning analytics system for education applications.,Education,"Python, Streamlit, LLM","Dashboard, Prediction/Detection, Reports, Authentication, Analytics","learning, analytics"
Code Evaluator,AI-powered code evaluator system for education applications.,Education,"Python, Streamlit, LLM","Dashboard, Prediction/Detection, Reports, Authentication, Analytics","code, evaluator"
Question Generator,AI-powered question generator system for education applications.,Education,"Python, Streamlit, LLM","Dashboard, Prediction/Detection, Reports, Authentication, Analytics","question, generator"
Plagiarism Detector,AI-powered plagiarism detector system for education applications.,Education,"Python, Streamlit, LLM","Dashboard, Prediction/Detection, Reports, Authentication, Analytics","plagiarism, detector"
Study Planner,AI-powered study planner system for education applications.,Education,"Python, Streamlit, LLM","Dashboard, Prediction/Detection, Reports, Authentication, Analytics","study, planner"
Project Novelty Checker,AI-powered project novelty checker system for education applications.,Education,"Python, Streamlit, LLM","Dashboard, Prediction/Detection, Reports, Authentication, Analytics","project, novelty, checker"
Course Recommender,AI-powered course recommender system for education applications.,Education,"Python, Streamlit, LLM","Dashboard, Prediction/Detection, Reports, Authentication, Analytics","course, recommender"
Face Recognition Attendance Advanced,Advanced version of AI-powered face recognition attendance system for computer vision applications.,Computer Vision,"OpenCV, YOLO, TensorFlow","Dashboard, Prediction/Detection, Reports, Authentication, Analytics","face, recognition, attendance"
Face Recognition Attendance Advanced,Advanced version of AI-powered face recognition attendance system for computer vision applications.,Computer Vision,"OpenCV, YOLO, TensorFlow","Dashboard, Prediction/Detection, Reports, Authentication, Analytics","face, recognition, attendance"
Face Recognition Attendance Advanced,Advanced version of AI-powered face recognition attendance system for computer vision applications.,Computer Vision,"OpenCV, YOLO, TensorFlow","Dashboard, Prediction/Detection, Reports, Authentication, Analytics","face, recognition, attendance"
Face Recognition Attendance Advanced,Advanced version of AI-powered face recognition attendance system for computer vision applications.,Computer Vision,"OpenCV, YOLO, TensorFlow","Dashboard, Prediction/Detection, Reports, Authentication, Analytics","face, recognition, attendance"
Face Recognition Attendance Advanced,Advanced version of AI-powered face recognition attendance system for computer vision applications.,Computer Vision,"OpenCV, YOLO, TensorFlow","Dashboard, Prediction/Detection, Reports, Authentication, Analytics","face, recognition, attendance"
Face Recognition Attendance Advanced,Advanced version of AI-powered face recognition attendance system for computer vision applications.,Computer Vision,"OpenCV, YOLO, TensorFlow","Dashboard, Prediction/Detection, Reports, Authentication, Analytics","face, recognition, attendance"
Face Recognition Attendance Advanced,Advanced version of AI-powered face recognition attendance system for computer vision applications.,Computer Vision,"OpenCV, YOLO, TensorFlow","Dashboard, Prediction/Detection, Reports, Authentication, Analytics","face, recognition, attendance"
Face Recognition Attendance Advanced,Advanced version of AI-powered face recognition attendance system for computer vision applications.,Computer Vision,"OpenCV, YOLO, TensorFlow","Dashboard, Prediction/Detection, Reports, Authentication, Analytics","face, recognition, attendance"
Face Recognition Attendance Advanced,Advanced version of AI-powered face recognition attendance system for computer vision applications.,Computer Vision,"OpenCV, YOLO, TensorFlow","Dashboard, Prediction/Detection, Reports, Authentication, Analytics","face, recognition, attendance"
Face Recognition Attendance Advanced,Advanced version of AI-powered face recognition attendance system for computer vision applications.,Computer Vision,"OpenCV, YOLO, TensorFlow","Dashboard, Prediction/Detection, Reports, Authentication, Analytics","face, recognition, attendance"
Face Recognition Attendance Advanced,Advanced version of AI-powered face recognition attendance system for computer vision applications.,Computer Vision,"OpenCV, YOLO, TensorFlow","Dashboard, Prediction/Detection, Reports, Authentication, Analytics","face, recognition, attendance"
Face Recognition Attendance Advanced,Advanced version of AI-powered face recognition attendance system for computer vision applications.,Computer Vision,"OpenCV, YOLO, TensorFlow","Dashboard, Prediction/Detection, Reports, Authentication, Analytics","face, recognition, attendance"
Face Recognition Attendance Advanced,Advanced version of AI-powered face recognition attendance system for computer vision applications.,Computer Vision,"OpenCV, YOLO, TensorFlow","Dashboard, Prediction/Detection, Reports, Authentication, Analytics","face, recognition, attendance"
Face Recognition Attendance Advanced,Advanced version of AI-powered face recognition attendance system for computer vision applications.,Computer Vision,"OpenCV, YOLO, TensorFlow","Dashboard, Prediction/Detection, Reports, Authentication, Analytics","face, recognition, attendance"
Face Recognition Attendance Advanced,Advanced version of AI-powered face recognition attendance system for computer vision applications.,Computer Vision,"OpenCV, YOLO, TensorFlow","Dashboard, Prediction/Detection, Reports, Authentication, Analytics","face, recognition, attendance"
